id	name	alias	fl
1-1	Franz Engel	Franz Engel|Theodor Franz Johann August Engel	1834-1920
1-2	Hew D.V. Prendergast	Hew D.V. Prendergast	1950-
10-1	Rudolf J.D.von Fischer-Benzon	Rudolf J.D.von Fischer-Benzon	1839-1911
10-2	J.A. Hernández	J.A. Hernández|J.A. Hernández Valdés	fl. 1994
100-1	Hannu Ahokas	Hannu Ahokas	1947-
101-1	Leslie Walter Allen Ahrendt	Leslie Walter Allen Ahrendt	1903-1969
102-1	Teuvo Tapio Ahti	Teuvo Tapio Ahti|Ted Ahti	1934-
103-1	Luisa Zulema Ahumada	Luisa Zulema Ahumada	1930-
104-1	Dietmar Ernst Aichele	Dietmar Ernst Aichele	1928-1996
105-1	Louis Clément Joseph Aigret	Louis Clément Joseph Aigret	1856-1921
106-1	Whitelaw Ainslie	Whitelaw Ainslie	1767-1837
107-1	Herbert Kenneth Airy Shaw	Herbert Kenneth Airy Shaw|Herbert Kenneth Airy Shaw	1902-1985
108-1	James Edward Tierney Aitchison	James Edward Tierney Aitchison	1836-1898
109-1	John B. Aitken	John B. Aitken	    -1939
11-2	Joko R. Witono	Joko R. Witono	fl. 1998
110-1	William Aiton	William Aiton	1731-1793
111-1	William Townsend Aiton	William Townsend Aiton	1766-1849
112-1	Akira Akahori	Akira Akahori	fl. 1963
113-1	Yoshyuki Akasawa	Yoshyuki Akasawa	1915-
114-1	Laurent Aké Assi	Laurent Aké Assi|Laurent Aké Assi	1931-2014
115-1	John F. Akers	John F. Akers	1906-
116-1	Kazmi Sayed Ali Akhtar	Kazmi Sayed Ali Akhtar|Kazmi Sayed Ali Achtar	1899-
117-1	Ivan Jakovlevic Akinfiev	Ivan Jakovlevic Akinfiev|Jwan Jakovlewitsch Akinfiew|Ivan Yakovlevic Akinfiyev	1851-1919
118-1	Shigeo Akiyama	Shigeo Akiyama	1906-
119-1	E.S. Aksenov	E.S. Aksenov|E.S. Axenov	fl. 1972
12-1	Friederich von Braun	Friederich von Braun	fl. 1820
12-2	Christine Barker	Christine Barker	1954-
120-1	Reino Olavi Alava	Reino Olavi Alava	1915-
121-1	S.A. Alavi	S.A. Alavi	1934-
122-1	Abel Albert	Abel Albert	1836-1909
123-1	Johannes Baptista von Albertini	Johannes Baptista von Albertini	1769-1831
124-1	Byron Wilson Pereira de Albuquerque	Byron Wilson Pereira de Albuquerque|Byron Wilson Pereira de Albuquerque|Byron Wilson Pereira de Albuquerque	1932-2003
125-1	Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh	Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel Alderwerelt van Rosenburgh	1863-1936
126-1	Ulisse Aldrovandi	Ulisse Aldrovandi	1522-1605
127-1	Vasiliy Vasilievich Alechin	Vasiliy Vasilievich Alechin|V.V. Alekhin|V.V. Aléchine	1882-1946
129-1	Friedrich Georg Christoph Alefeld	Friedrich Georg Christoph Alefeld	1820-1872
13-1	Henri Saintange Savouré	Henri Saintange Savouré	1861-1921
130-1	Evgenii Borisovich Alexeev	Evgenii Borisovich Alexeev|Eugeniy Borisovich Alekseev	1946-1987
131-1	Edward Johnston Alexander	Edward Johnston Alexander	1901-1985
132-1	Liviu Alexandrescu	Liviu Alexandrescu	1899-1980
133-1	Leontiy Petrovich Alexandrov	Leontiy Petrovich Alexandrov	1858-1929
134-1	Fyodor Nikitich Alexeenko	Fyodor Nikitich Alexeenko|F.N. Alexejenko|F.N. Alekseenko	1882-1904
135-1	Maria Ignatievna Alexeenko	Maria Ignatievna Alexeenko|M.I. Alexejenko	1905-
136-1	Syed Irtifaq Ali	Syed Irtifaq Ali	1930-
137-1	D.A. Aliev	D.A. Aliev	1913-
138-1	Eugenija Nikolaevna Alissova-Klobukova	Eugenija Nikolaevna Alissova-Klobukova|Eugenija Nikolaevna Alissova Klobukova	1889-1962
139-1	Frédérique (Frédéric) Louis Allamand	Frédérique (Frédéric) Louis Allamand	1735-?1803
14-1	John Salter	John Salter	1798-1874
140-1	Jean Nicolas Sébastien Allamand	Jean Nicolas Sébastien Allamand	1731-1793
141-1	Harry Howard Barton Allan	Harry Howard Barton Allan	1882-1957
142-1	Helge Allander	Helge Allander	1894-
143-1	Aymar Charles d' Alleizette	Aymar Charles d' Alleizette|Aymar Charles d'Aleizette	1884-1967
144-1	Manoel Allemão	Manoel Allemão|Manoel Freire Allemão	    -1863
145-1	Francisco Freire Allemão e Cysneiro	Francisco Freire Allemão e Cysneiro|Francisco Freire Allemão	1797-1874
146-1	Caroline Kathryn Allen	Caroline Kathryn Allen	1904-1975
147-1	David Elliston Allen	David Elliston Allen	1932-
148-1	Guy Oldfield Allen	Guy Oldfield Allen	1883-1963
149-1	John Alphaeus Allen	John Alphaeus Allen	1863-1916
15-1	Luis Gonçalves Sobrinho	Luis Gonçalves Sobrinho|Luis Sobrinho	1907-1969
151-1	Paul Hamilton Allen	Paul Hamilton Allen	1911-1963
152-1	Timothy Field Allen	Timothy Field Allen	1837-1902
154-1	Carlo Allioni	Carlo Allioni	1728-1804
155-1	George James Allman	George James Allman	1812-1898
156-1	William Allman	William Allman	1776-1846
157-1	Pierre Allorge	Pierre Allorge	1891-1944
158-1	Carl Gustav Alm	Carl Gustav Alm	1888-
16-1	John Ewbank Leefe	John Ewbank Leefe	1824-1889
160-1	Frank Almeda	Frank Almeda	1946-
161-1	Joaquim de Almeida	Joaquim de Almeida|Joaquim de Almeida Pinto|Joaquim de Almeida Pinto	1823/4-1871
162-1	Maria Teresa Fernandes de Almeida	Maria Teresa Fernandes de Almeida|Maria Teresa de Almeida	1940-2009
163-1	Ernst Bernhard Almquist	Ernst Bernhard Almquist	1852-1946
164-1	Erik Gustaf Almquist	Erik Gustaf Almquist	1892-1974
165-1	Johan Magnus Almquist	Johan Magnus Almquist	fl. 1920s
167-1	Ferdinand Alpers	Ferdinand Alpers	1841-1912
168-1	Andreas Alschinger	Andreas Alschinger	1791-1864
169-1	Ihsan Ali Al-Shehbaz	Ihsan Ali Al-Shehbaz	1939-
17-1	César Gómez-Campo	César Gómez-Campo|César Gómez Campo	1933-2009
170-1	Arthur Hugh Garfit Alston	Arthur Hugh Garfit Alston	1902-1958
171-1	Clas Alströmer	Clas Alströmer|Clas Alstroemer	1736-1794
172-1	Johann Wilhelm von Alten	Johann Wilhelm von Alten	1770-
173-1	Paul Altmann	Paul Altmann	fl. 1894
174-1	Andrew Halstead Alverson	Andrew Halstead Alverson	1845-1916
175-1	Pierre Phillipe Alyon	Pierre Phillipe Alyon	1746-1816
177-1	Francesco Ambrosi	Francesco Ambrosi	1821-1897
179-1	Oakes Ames	Oakes Ames	1874-1950
18-1	William James Marchant	William James Marchant	1886-1952
180-1	Amal Amin	Amal Amin	1929-
181-1	Johann Amman	Johann Amman	1707-1741
182-1	Mariano del Amo y Mora	Mariano del Amo y Mora|Mariano Del-Amo y Mora	1809-1896
183-1	Gerda Jane Hillegonda Amshoff	Gerda Jane Hillegonda Amshoff	1913-1985
184-1	A.V. Anashchenko	A.V. Anashchenko|A.V. Anashczenko	fl. 1970
185-1	Joseph Anders	Joseph Anders	1863-1936
186-1	Johannes Carl Andersen	Johannes Carl Andersen	1873-1962
187-1	Alexander Anderson	Alexander Anderson	1748-1811
188-1	Charles Lewis Anderson	Charles Lewis Anderson	1827-1919
189-1	Denis Elmo Anderson	Denis Elmo Anderson	1934-
19-1	Joachim Schmitz	Joachim Schmitz	fl. 1985
190-1	Edward Frederick Anderson	Edward Frederick Anderson|Ted Anderson	1932-2001
191-1	Edgar Shannon Anderson	Edgar Shannon Anderson	1897-1969
192-1	George W. Anderson	George W. Anderson	fl. 1800-1817
193-1	Gregory Joseph Anderson	Gregory Joseph Anderson	1944-
194-1	James Anderson	James Anderson	1738-1809
195-1	John Graham Anderson	John Graham Anderson	1926-1970
196-1	Jacob Peter Anderson	Jacob Peter Anderson	1874-1953
197-1	Loran Crittenden Anderson	Loran Crittenden Anderson	1936-
198-1	Robert Henry Anderson	Robert Henry Anderson	1899-1969
199-1	Thomas Anderson	Thomas Anderson	1832-1870
2-1	Christopher John Quinn	Christopher John Quinn	1936-
2-2	Darrin W. Duling	Darrin W. Duling	fl. 1998
20-1	K.J. Strank	K.J. Strank	fl.1985
200-1	William Anderson	William Anderson	1750-1778
201-1	William Russell Anderson	William Russell Anderson	1942-2013
202-1	Carl Filip Gunnar Andersson	Carl Filip Gunnar Andersson	1865-1928
203-1	Nils Johan Andersson	Nils Johan Andersson	1821-1880
205-1	Aydil Grave de Andrade	Aydil Grave de Andrade|Aydil de Andrade	1930-
207-1	Édouard-François André	Édouard-François André	1840-1911
21-1	Douglas Henry Kent	Douglas Henry Kent	1920-1998
210-1	Heinrich Andres	Heinrich Andres	1883-1970
211-1	John William Andresen	John William Andresen	1925-
212-1	Cecil Rollo Payton Andrews	Cecil Rollo Payton Andrews	1870-1951
214-1	Darwin Maxson Andrews	Darwin Maxson Andrews	1869-1938
215-1	Frederick William Andrews	Frederick William Andrews	    -1961
216-1	Henry Charles Andrews	Henry Charles Andrews	fl. 1794-1830
22-1	Lewis Eldon Aalders	Lewis Eldon Aalders	1933-
220-1	Antoni Lukianowicz Andrzejowski	Antoni Lukianowicz Andrzejowski|Antoni Lukianowicz Andrzeiovski|Antoni Lukianowicz Andrzeiowski|Antoni Lukianowicz Andrzeiowsky	1785-1868
225-1	João Alberto Angely	João Alberto Angely|João Alberto Angeli	1917-
226-1	Gheorghe Anghel	Gheorghe Anghel	1910-
227-1	Johan Ångström	Johan Ångström	1813-1879
229-1	Delia Añon Suarez de Cullen	Delia Añon Suarez de Cullen|Delia Añon|Delia C. Añón Suarez de Cullen	1917-2016
23-1	Aaron Aaronsohn	Aaron Aaronsohn	1876-1919
231-1	Mohammed Yunus Ebrahim Ansari	Mohammed Yunus Ebrahim Ansari|Mohammed Yunus Ansari	1929-2016
232-1	Elizabeth Anselmino	Elizabeth Anselmino	fl. 1932
234-1	John Anthony	John Anthony	1891-1972
235-1	Margery Stuart Anthony	Margery Stuart Anthony	1924-
236-1	Franz Antoine	Franz Antoine	1815-1886
24-1	Hannah Caroline Aase	Hannah Caroline Aase	1883-
240-1	Bruno Anzalone	Bruno Anzalone	1921-2007
242-1	T. Aparina	T. Aparina	fl. 1966
243-1	Subramaniam Ganapthi Appan	Subramaniam Ganapthi Appan	1937-
244-1	Friedrich Carl Louis Otto Appel	Friedrich Carl Louis Otto Appel	1867-1952
245-1	Elmer Ivan Applegate	Elmer Ivan Applegate	1867-1949
251-1	Maria Mercedes Arbo	Maria Mercedes Arbo	1945-
252-1	Giovanni Arcangeli	Giovanni Arcangeli	1840-1921
253-1	Thomas Croxen Archer	Thomas Croxen Archer	1817-1885
255-1	Eily Edith Agnes Archibald	Eily Edith Agnes Archibald	1914-2007
256-1	Honoré Jean Baptiste Ardoino	Honoré Jean Baptiste Ardoino|Onorato Ardoino	1819-1874
258-1	Pietro Arduino	Pietro Arduino	1728-1805
259-1	José Arechavaleta	José Arechavaleta|José Arechavaleta y Balpardo	1838-1912
26-1	Ernst Cleveland Abbe	Ernst Cleveland Abbe	1905-
260-1	Govindappa D. Arekal	Govindappa D. Arekal	fl. 1972
262-1	Johann Josef Franz Arendt	Johann Josef Franz Arendt	fl. 1828-1840
263-1	Jean Arènes	Jean Arènes	1898-1960
264-1	Frederic Wilhelm Christian Areschoug	Frederic Wilhelm Christian Areschoug	1830-1908
265-1	John Erhard Areschoug	John Erhard Areschoug	1811-1887
266-1	George William Argus	George William Argus	1929-
267-1	Leandro Aristeguieta	Leandro Aristeguieta	1923-
268-1	Luis Ariza Espinar	Luis Ariza Espinar|Luis Ariza	1933-
27-1	Delia Abbiatti	Delia Abbiatti	1918-
270-1	John Francis Armstrong	John Francis Armstrong	1820-1902
271-1	Joseph Beattie Armstrong	Joseph Beattie Armstrong	1850-1926
278-1	Johann Franz Xaver Arnold	Johann Franz Xaver Arnold	fl. 1785
279-1	Lillian Eleanore Arnold	Lillian Eleanore Arnold	1895-
280-1	Ralph Edward Arnold	Ralph Edward Arnold	1891-
281-1	George Arnott Walker Arnott	George Arnott Walker Arnott|George Arnott Walker Arnott	1799-1868
283-1	Gerald Kench Arp	Gerald Kench Arp	1947-
285-1	Johan Peter (Pehr, Petter) Arrhenius	Johan Peter (Pehr, Petter) Arrhenius	1811-1889
286-1	Johan Israel Axel Arrhenius	Johan Israel Axel Arrhenius|Axel Arrhenius	1858-1950
287-1	Pier Virgilio (Virgilis) Arrigoni	Pier Virgilio (Virgilis) Arrigoni	1932-
289-1	Étienne Théodore Arrondeau	Étienne Théodore Arrondeau	1807-1882
29-1	John Abbot	John Abbot	1751-c.1840
290-1	Mary Therese Kalin Arroyo	Mary Therese Kalin Arroyo	1944-
291-1	Manoel Arruda da Cámara	Manoel Arruda da Cámara|Manoel Arruda da Cámara	1752-1810
292-1	Gustave Arsène	Gustave Arsène|Arsène Gustave Joseph Brouard|Gerfroy Arsène	1867-1938
293-1	Ivan Vlasovich Artemczuk	Ivan Vlasovich Artemczuk|Ivan Vlasovich Artemchuk	1898-1973
294-1	Joseph Charles Arthur	Joseph Charles Arthur	1850-1942
297-1	A. Arvat	A. Arvat	1890-1950
298-1	Jean Maurice Casimir Arvet-Touvet	Jean Maurice Casimir Arvet-Touvet	1841-1913
3-1	Wilhelm A. Barthlott	Wilhelm A. Barthlott	1946-
3-2	J. Greimler	J. Greimler	fl. 1998
30-1	Moustafa Sayed-Ahmed Abdallah	Moustafa Sayed-Ahmed Abdallah	1918-2001
303-1	Yasuhiro Asai	Yasuhiro Asai	1933-
305-1	Kazuo Asano	Kazuo Asano	fl. 1972
307-1	Paul Friedrich August Ascherson	Paul Friedrich August Ascherson	1834-1913
308-1	Edwin Ashby	Edwin Ashby	1861-1941
310-1	William Willard Ashe	William Willard Ashe	1872-1932
311-1	Peter Shaw Ashton	Peter Shaw Ashton	1934-
312-1	Margot Bernice Ashwin	Margot Bernice Ashwin	1935-
315-1	Rosa K. Askerova	Rosa K. Askerova	1929-
316-1	Georg Carsten Aspegren	Georg Carsten Aspegren	1791-1828
317-1	Erik Asplund	Erik Asplund	1888-1974
318-1	J. van den Assem	J. van den Assem|J. van den Assem	fl. 1953
319-1	Vulevi Ivan Assenov	Vulevi Ivan Assenov|Vulevi Ivan Asenov	1932-2004
320-1	Ignacio Jordán de Asso y del Rio	Ignacio Jordán de Asso y del Rio|Ignacio Jordán de Asso y del Rio	1742-1814
321-1	A. Astanova	A. Astanova	fl. 1971
322-1	William Sackston Atkinson	William Sackston Atkinson	1821-1875
325-1	N.Duane Atwood	N.Duane Atwood	1938-
326-1	Aldo Domenico Atzei	Aldo Domenico Atzei	1932-
327-1	Jean Baptiste Christophore Fusée Aublet	Jean Baptiste Christophore Fusée Aublet	1720-1778
328-1	André Aubréville	André Aubréville	1897-1982
33-1	L.N. Abdusalyamova	L.N. Abdusalyamova	fl. 1969
330-1	Pierre Martin Rémi Aucher-Éloy	Pierre Martin Rémi Aucher-Éloy|Pierre Martin Rémy Aucher	1793-1838
331-1	Urbain Audibert	Urbain Audibert	1791-1846
332-1	Louis-Eustache Audot	Louis-Eustache Audot	1783-1870
334-1	John James Audubon	John James Audubon	1785-1851
336-1	Paul Henri Auquier	Paul Henri Auquier	1939-1980
337-1	Anton Ausserdorfer	Anton Ausserdorfer	1836-1885
338-1	Coe Finch Austin	Coe Finch Austin	1831-1880
339-1	Daniel Frank Austin	Daniel Frank Austin	1943-2015
34-1	Clarke Abel	Clarke Abel	1789-1826
340-1	Eugène John Benjamin Autran	Eugène John Benjamin Autran	1855-1912
341-1	Nikolai Pavlović Avdulov	Nikolai Pavlović Avdulov|Nikolay Pavlovich Avdulov|Nikolai Pavlović Avdulow	1899-1938
342-1	Julius Léopold Edouard Avé-Lallemant	Julius Léopold Edouard Avé-Lallemant|Julius Léopold Edouard Ave- Lallemant	1803-1867
343-1	John Earl Averett	John Earl Averett	1943-2017
345-1	Vandika Ervandovna Avetisyan	Vandika Ervandovna Avetisyan|Vanda E. Avetissjan|Vanda E. Avetisian|Vanda E. Avetissian	1928-
346-1	Nikolai Aleksandrovich Avrorin	Nikolai Aleksandrovich Avrorin	1906-1991
347-1	Edward Solomon Ayensu	Edward Solomon Ayensu	1935-
348-1	Gérard Guy Aymonin	Gérard Guy Aymonin	1934-2014
349-1	William Port Ayres	William Port Ayres	1815-1875
35-1	Gottlieb Friedrich Abel	Gottlieb Friedrich Abel	1763-
350-1	Inigo Gonzalez y Azaola	Inigo Gonzalez y Azaola|Inigo Gonzalez y Azaola	fl. 1845
352-1	Georges Vincent Aznavour	Georges Vincent Aznavour	1861-1920
355-1	Michael Francis Baad	Michael Francis Baad	1941-
356-1	Johannes Schønberg Baagøe	Johannes Schønberg Baagøe	1838-1905
357-1	Ernest Brown Babcock	Ernest Brown Babcock	1877-1954
360-1	Cherukuri Raghavendra Babu	Cherukuri Raghavendra Babu	1940-
363-1	Auguste Jean Marie Bachelot de la Pylaie	Auguste Jean Marie Bachelot de la Pylaie|Auguste Jean Marie Bachelot de la Pylaie|Auguste Jean Marie Bachelot de la Pylaie|Auguste Jean Marie Bachelot de la Pylaie|Auguste Jean Marie Bachelot de Lapylaie|Auguste Jean Marie Bachelot de Pilaye	1786-1856
366-1	Rimo Carlo Felice Bacigalupi	Rimo Carlo Felice Bacigalupi|Rimo Charles Bacigalupi	1901-1996
367-1	Nélida María Bacigalupo	Nélida María Bacigalupo	1924-
368-1	Curt Backeberg	Curt Backeberg	1894-1966
369-1	Cornelis Andries Backer	Cornelis Andries Backer	1874-1963
370-1	James Backhouse	James Backhouse	1794-1869
371-1	James Backhouse	James Backhouse	1825-1890
373-1	Giovanni Battista Badarò	Giovanni Battista Badarò	1799-1830
376-1	Victor Manuel Badillo	Victor Manuel Badillo|Victor Manuel Badillo Franceri	1920-2008
377-1	Frederic Jean Badré	Frederic Jean Badré	1937-
38-1	Bartholomeusz Aristides Abeywickrama	Bartholomeusz Aristides Abeywickrama	1920-
383-1	Karl Reinhold Ernst von Baer	Karl Reinhold Ernst von Baer	1792-1876
384-1	Manfred Bässler	Manfred Bässler	1935-
387-1	Arthur William Gerrard Bagshawe	Arthur William Gerrard Bagshawe	1871-1950
388-1	Kunwar Naresh Bahadur	Kunwar Naresh Bahadur	1935-1984
390-1	Dana K. Bailey	Dana K. Bailey	1916-
391-1	Ethel Zoe Bailey	Ethel Zoe Bailey	1889-1983
392-1	Frederick Manson Bailey	Frederick Manson Bailey	1827-1915
393-1	Irving Widmer Bailey	Irving Widmer Bailey	1884-1967
394-1	Jacob Whitman Bailey	Jacob Whitman Bailey	1811-1857
395-1	Liberty Hyde Bailey	Liberty Hyde Bailey	1858-1954
396-1	Casimir Celestin Baillet	Casimir Celestin Baillet	1820-1900
398-1	Émile Bailly	Émile Bailly	1829-1894
4-1	Wilfried Herbert Bennert	Wilfried Herbert Bennert	1945-
4-2	Sasha C. Barrow	Sasha C. Barrow	fl. 1998
40-1	Robert Ivanovich Abolin	Robert Ivanovich Abolin	1886-1939
401-1	Ralph Overholser Baird	Ralph Overholser Baird	1908-1998
402-1	M.S. Bajtenov	M.S. Bajtenov|M.S. Baitenov	1927-
403-1	Charles Fuller Baker	Charles Fuller Baker	1872-1927
404-1	Edmund Gilbert Baker	Edmund Gilbert Baker	1864-1949
405-1	Hugh Arthur Baker	Hugh Arthur Baker	1896-1976
406-1	Herbert George Baker	Herbert George Baker	1920-2001
407-1	John Gilbert Baker	John Gilbert Baker	1834-1920
408-1	Milo Samuel Baker	Milo Samuel Baker	1868-1961
409-1	Richard Thomas Baker	Richard Thomas Baker	1854-1941
410-1	William Hudson Baker	William Hudson Baker	1911-1985
412-1	Reinier Cornelis Bakhuizen van den Brink	Reinier Cornelis Bakhuizen van den Brink|Reinier Cornelis Bakhuizen van den Brink	1911-1987
413-1	K. Bakker	K. Bakker	1931-
414-1	Leona Baksay	Leona Baksay	1915-
415-1	Nambiyath Puthansurayil Balakrishnan	Nambiyath Puthansurayil Balakrishnan	1935-
416-1	Benedict Balansa	Benedict Balansa|Benjamin Balansa	1825-1891
418-1	Antonio Baldacci	Antonio Baldacci	1867-1950
421-1	William Baldwin	William Baldwin	1779-1819
422-1	William Kirwan Willcocks Baldwin	William Kirwan Willcocks Baldwin	1910-1979
423-1	Isaac Bayley Balfour	Isaac Bayley Balfour	1853-1922
425-1	Max Michael Josephus van Balgooy	Max Michael Josephus van Balgooy|Max Michael Josephus van Balgooy	1932-
427-1	Carleton Roy Ball	Carleton Roy Ball	1873-1958
428-1	John Ball	John Ball	1818-1889
429-1	Peter William Ball	Peter William Ball	1932-
43-1	Nikolay Vasilyevich Abramov	Nikolay Vasilyevich Abramov	1942-2010
430-1	Francis Ballard	Francis Ballard	1896-1976
431-1	Simone Balle	Simone Balle	1906-
434-1	Peter René Oscar Bally	Peter René Oscar Bally	1895-1980
439-1	Paul Rodolphe Joseph Bamps	Paul Rodolphe Joseph Bamps	1932-2019
44-1	L.I. Abramova	L.I. Abramova	1940-
440-1	Edward Nathaniel Bancroft	Edward Nathaniel Bancroft	1772-1842
441-1	Rabindra Nath Banerjee	Rabindra Nath Banerjee	1935-
442-1	Mohan Lal Banerji	Mohan Lal Banerji	1916-
445-1	Anthelme-Jean Bange	Anthelme-Jean Bange	1896-1950
448-1	Joseph Banks	Joseph Banks	1743-1820
449-1	Syed Riaz Baquar	Syed Riaz Baquar	fl. 1970
45-1	S.N. Abramova	S.N. Abramova	1937-
452-1	A.I. Baranov	A.I. Baranov	fl. 1965-
453-1	M.V. Baranova	M.V. Baranova	1932-
458-1	Andrej Ivanovič Barbaricz	Andrej Ivanovič Barbaricz|Andrej Ivanovich Barbarich|Andrej Ivanovič Barbaryč	1903-1979
459-1	Francesco Barbazita	Francesco Barbazita	    -1847
46-1	LeRoy Abrams	LeRoy Abrams	1874-1956
463-1	M. Barbey-Gampert	M. Barbey-Gampert	fl. 1921
465-1	João Barbosa Rodrigues	João Barbosa Rodrigues|João Barbosa Rodrigues|João Barbosa	1842-1909
466-1	A.F. Barbosa	A.F. Barbosa	fl. 1971
467-1	Luis Augusto Grandvaux Barbosa	Luis Augusto Grandvaux Barbosa|Luis Agosto Grandvaux Barbosa|Luis Augusto Grandvaux Barbosa	1914-1983
468-1	A. Barbosa Pereira	A. Barbosa Pereira	
469-1	Vania Perazzo Barbosa	Vania Perazzo Barbosa|Vania Perazzo Barbosa Fevereiro	fl. 1970
47-1	Johannes Abromeit	Johannes Abromeit	1857-1946
470-1	Ana Maria Pinto Barcellos	Ana Maria Pinto Barcellos|Ana Maria Pinto Barcellos	fl. 1973-
474-1	Arthur Stewart Barclay	Arthur Stewart Barclay	1932-2003
475-1	Gino Bargagli-Petrucci	Gino Bargagli-Petrucci	1878-1945
478-1	Winsome Fanny ('Buddy') Barker	Winsome Fanny ('Buddy') Barker	1907-1994
479-1	Fred Alexander Barkley	Fred Alexander Barkley	1908-1989
480-1	Theodore Mitchell Barkley	Theodore Mitchell Barkley|Ted Barkley	1934-2004
481-1	Youssef Ibrahim Barkoudah	Youssef Ibrahim Barkoudah	1933-
483-1	Bryan Alwyn Barlow	Bryan Alwyn Barlow	1933-
484-1	Miguel Barnadez	Miguel Barnadez|Miguel Barnades|Miguel Barnades y Mainader	c.1717-1771
485-1	Thomas Theodore Barnard	Thomas Theodore Barnard	1898-1983
486-1	Rupert Charles Barneby	Rupert Charles Barneby	1911-2000
487-1	François Marius Barnéoud	François Marius Barnéoud	1821-
489-1	Edward Barnes	Edward Barnes	1892-1941
49-1	Rebeca Acevedo San Martín de Vargas	Rebeca Acevedo San Martín de Vargas|Rebeca Acevedo de Vargas	1902-1987
490-1	P.E. Barnes	P.E. Barnes	fl. 1931
491-1	Euphemia Cowan Barnett	Euphemia Cowan Barnett	1890-1970
492-1	John Hendley Barnhart	John Hendley Barnhart	1871-1949
494-1	Ilcana Barocio de las Fuentes	Ilcana Barocio de las Fuentes	fl. 1973
497-1	Peter Barr	Peter Barr	1826-1909
499-1	Auguste Barrandon	Auguste Barrandon	1814-1897
50-1	Erik Acharius	Erik Acharius	1757-1819
500-1	Joseph Barratt	Joseph Barratt	1796-1882
501-1	Jean François Gustave Barratte	Jean François Gustave Barratte|Jean François Gustave Baratte	1857-1920
503-1	Henrique Lahmeyer de Mello Barreto	Henrique Lahmeyer de Mello Barreto|Henrique Lamahyer de Mello Barreto|Henrique Lamahyer de Mello Barreto|Henrique Lahmayer de Mello Barreto	1892-1962
504-1	Manuel Barros	Manuel Barros	1880-1973
505-1	Graziela Maciel Barroso	Graziela Maciel Barroso	1912-2003
506-1	Liberato Joaquim Barroso	Liberato Joaquim Barroso	1900-1949
508-1	Biagio Bartalini	Biagio Bartalini	1746-1822
510-1	O.M. Barth	O.M. Barth	fl. 1971
513-1	Harley Harris Bartlett	Harley Harris Bartlett	1886-1960
514-1	Friedrich Gottlieb Bartling	Friedrich Gottlieb Bartling	1798-1875
515-1	Benjamin Smith Barton	Benjamin Smith Barton	1766-1815
516-1	William Charles Barton	William Charles Barton	1874-1955
517-1	William Paul Crillon Barton	William Paul Crillon Barton	1786-1856
519-1	John Bartram	John Bartram	1699-1777
520-1	William Bartram	William Bartram	1739-1823
526-1	Nina Alexandrovna Basilevskaja	Nina Alexandrovna Basilevskaja|Nina Alexandrovna Basilevskaia|Nina Alexandrovna Bazilevskaja	1902-
527-1	Theodor Friedrich Julius Basiner	Theodor Friedrich Julius Basiner	1817-1862
528-1	Ferdinando Bassi	Ferdinando Bassi	1710-1774
53-1	Boris T. Achtarov	Boris T. Achtarov|Boris T. Achtaroff	1885-1959
532-1	Kailash Chandra Basu Chaudhary	Kailash Chandra Basu Chaudhary|Kailash Chandra Basu Chaudhary	1931-
533-1	Rabindra Krishna Basu	Rabindra Krishna Basu	fl. 1970-
535-1	Alexander Theodorowicz Batalin	Alexander Theodorowicz Batalin|Alexandr Fedorovich Batalin	1847-1896
536-1	Frederick William Batchelder	Frederick William Batchelder	1838-1911
537-1	James Bateman	James Bateman	1811-1897
538-1	John Mallory Bates	John Mallory Bates	1846-1930
539-1	David Martin Bates	David Martin Bates	1935-
547-1	Jean C. Baudet	Jean C. Baudet	1944
549-1	Firmin Baudo	Firmin Baudo	fl. 1843
55-1	Agazi Asaturovich Achverdov	Agazi Asaturovich Achverdov|Agazi Asaturovich Ackverdov|Agazi Asaturovich Akhverdov	1907-
551-1	Ferdinand Lukas Bauer	Ferdinand Lukas Bauer	1760-1826
552-1	Franz (Francis) Andreas Bauer	Franz (Francis) Andreas Bauer	1758-1840
553-1	Caspar Bauhin	Caspar Bauhin|Gaspar Bauhin	1560-1624
555-1	Bernard René Baum	Bernard René Baum	1937-
557-1	Eugen Baumann	Eugen Baumann	1868-1933
559-1	Marcel Gustav Baumann-Bodenheim	Marcel Gustav Baumann-Bodenheim	1920-1996
561-1	Johann Christian Gottlob Baumgarten	Johann Christian Gottlob Baumgarten	1765-1843
563-1	Edgar Martin Baxter	Edgar Martin Baxter	1903-1967
564-1	William Baxter	William Baxter	1787-1871
566-1	Johann Nepomuk Bayer	Johann Nepomuk Bayer	1802-1870
567-1	Martin Bruce Bayer	Martin Bruce Bayer	1935-
570-1	Geoffrey Thomas Sandford Baylis	Geoffrey Thomas Sandford Baylis	1913-2003
572-1	Turhan Baytop	Turhan Baytop	fl. 1982
573-1	Giorgio Bazzichelli	Giorgio Bazzichelli	1924-
574-1	Chauncey Delos Beadle	Chauncey Delos Beadle	1866-1950
576-1	Ernest Oscar Beal	Ernest Oscar Beal	1928-1980
577-1	William James Beal	William James Beal	1833-1924
